"Prebivalstvo, staro 15 ali veè let po: STATISTIÈNA REGIJA, STAROST,"
"ZAKONSKI STAN, LETO , SPOL"

" ";" ";"Razvezani";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" ";"2018";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
" ";"35-39 let";886;376;510;873;354;519;863;362;501;832;332;500;770;301;469;712;273;439;671;282;389;627;259;368
" ";"40-44 let";1459;597;862;1336;545;791;1292;529;763;1269;533;736;1251;520;731;1218;506;712;1172;481;691;1148;480;668
" ";"45-49 let";2007;904;1103;2022;895;1127;1988;862;1126;1935;829;1106;1844;784;1060;1745;736;1009;1682;698;984;1583;669;914
" ";"50-54 let";2288;1035;1253;2227;997;1230;2220;1003;1217;2253;1024;1229;2201;992;1209;2202;973;1229;2196;973;1223;2205;939;1266
" ";"55-59 let";2189;1030;1159;2320;1095;1225;2339;1099;1240;2273;1039;1234;2303;1043;1260;2327;1055;1272;2297;1024;1273;2262;1005;1257
" ";"60-64 let";1592;740;852;1693;789;904;1773;815;958;1935;897;1038;1974;914;1060;2098;972;1126;2247;1045;1202;2281;1049;1232
" ";"65-69 let";1057;463;594;1120;473;647;1208;525;683;1241;537;704;1329;588;741;1491;661;830;1559;693;866;1659;739;920
" ";"70-74 let";742;268;474;776;307;469;837;324;513;897;362;535;936;387;549;944;394;550;1008;411;597;1088;452;636
" ";"75-79 let";498;127;371;518;143;375;546;163;383;593;188;405;611;192;419;624;215;409;645;237;408;694;250;444
" ";"80-84 let";331;65;266;340;73;267;360;87;273;368;81;287;363;85;278;363;85;278;396;102;294;425;124;301
" ";"85-89 let";136;26;110;154;23;131;168;23;145;190;29;161;182;26;156;190;28;162;198;32;166;215;42;173
" ";"90-94 let";27;2;25;33;4;29;29;4;25;33;6;27;53;8;45;59;8;51;63;9;54;75;8;67
" ";"95-99 let";4;3;1;4;2;2;3;1;2;2;0;2;1;0;1;4;0;4;8;0;8;8;1;7
" ";"100 + let";1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
"Zasavska"
" ";"Starost - SKUPAJ";2496;1014;1482;2520;1033;1487;2541;1056;1485;2557;1069;1488;3377;1423;1954;3432;1445;1987;3523;1502;2021;3540;1491;2049
" ";"15-19 let";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";"20-24 let";4;1;3;4;1;3;6;0;6;3;0;3;5;2;3;5;2;3;5;2;3;1;0;1
" ";"25-29 let";25;8;17;23;8;15;21;8;13;23;8;15;35;12;23;37;12;25;37;11;26;29;10;19
" ";"30-34 let";77;28;49;71;23;48;66;21;45;61;21;40;82;27;55;70;23;47;74;29;45;77;30;47
" ";"35-39 let";141;49;92;143;57;86;127;52;75;122;50;72;168;68;100;161;71;90;173;77;96;163;68;95
" ";"40-44 let";261;111;150;256;105;151;230;103;127;204;95;109;252;113;139;268;110;158;265;114;151;260;109;151
" ";"45-49 let";414;163;251;397;162;235;384;161;223;350;150;200;454;207;247;396;180;216;370;163;207;360;161;199
" ";"50-54 let";435;211;224;441;214;227;444;195;249;468;192;276;600;240;360;593;235;358;588;245;343;554;231;323
" ";"55-59 let";380;174;206;403;190;213;426;210;216;422;207;215;573;273;300;621;303;318;627;295;332;618;269;349
" ";"60-64 let";269;118;151;283;112;171;306;126;180;350;153;197;502;230;272;510;233;277;548;257;291;586;281;305
" ";"65-69 let";187;80;107;175;75;100;195;84;111;192;86;106;258;115;143;320;139;181;361;154;207;385;164;221
" ";"70-74 let";127;43;84;144;58;86;145;63;82;160;66;94;201;78;123;190;75;115;197;81;116;214;90;124
" ";"75-79 let";88;19;69;88;18;70;89;19;70;99;28;71;123;40;83;134;40;94;145;53;92;146;52;94
" ";"80-84 let";54;8;46;55;8;47;65;12;53;60;10;50;73;12;61;73;16;57;74;15;59;85;20;65
" ";"85-89 let";26;1;25;29;2;27;25;1;24;31;3;28;36;6;30;40;6;34;41;5;36;45;5;40
" ";"90-94 let";7;0;7;7;0;7;12;1;11;12;0;12;15;0;15;13;0;13;16;1;15;14;1;13
" ";"95-99 let";1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;2;0;2;3;0;3
" ";"100 + let";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Posavska"
" ";"Starost - SKUPAJ";3188;1361;1827;3250;1396;1854;3355;1445;1910;3434;1465;1969;3739;1596;2143;3791;1626;2165;3840;1648;2192;3884;1652;2232
